step,episode,reward,avg_reward_100,epsilon,elapsed_s
121279,133,-21.00,-20.22,0.7817,396.6
122203,134,-20.00,-20.23,0.7800,400.0
123119,135,-20.00,-20.22,0.7784,403.3
124029,136,-21.00,-20.22,0.7767,406.7
124951,137,-20.00,-20.21,0.7751,410.2
125907,138,-20.00,-20.22,0.7734,413.7
126746,139,-21.00,-20.22,0.7719,416.9
127725,140,-21.00,-20.24,0.7701,420.5
128649,141,-20.00,-20.24,0.7684,423.9
129712,142,-20.00,-20.24,0.7665,427.8
130649,143,-20.00,-20.23,0.7648,431.2
131559,144,-21.00,-20.25,0.7632,434.6
132502,145,-20.00,-20.25,0.7615,438.0
133435,146,-19.00,-20.24,0.7598,441.3
134214,147,-21.00,-20.24,0.7584,444.2
135314,148,-20.00,-20.24,0.7564,448.3
136331,149,-20.00,-20.25,0.7546,452.0
137322,150,-19.00,-20.24,0.7528,455.6
138351,151,-19.00,-20.25,0.7510,459.5
139169,152,-21.00,-20.25,0.7495,462.5
140232,153,-20.00,-20.25,0.7476,466.5
141351,154,-19.00,-20.23,0.7456,470.6
142294,155,-21.00,-20.23,0.7439,474.3
143379,156,-19.00,-20.22,0.7419,478.4
144537,157,-19.00,-20.20,0.7398,482.6
145767,158,-19.00,-20.19,0.7376,487.0
146958,159,-19.00,-20.21,0.7355,491.3
148219,160,-19.00,-20.19,0.7332,495.9
149326,161,-20.00,-20.20,0.7312,500.0
150349,162,-20.00,-20.19,0.7294,503.7
151377,163,-20.00,-20.19,0.7275,507.5
152275,164,-20.00,-20.20,0.7259,510.7
153167,165,-20.00,-20.21,0.7243,514.0
154475,166,-19.00,-20.19,0.7219,518.7
155526,167,-20.00,-20.19,0.7201,522.5
156595,168,-19.00,-20.17,0.7181,526.5
157478,169,-21.00,-20.17,0.7165,529.8
158779,170,-16.00,-20.12,0.7142,534.5
159741,171,-21.00,-20.12,0.7125,538.1
160707,172,-21.00,-20.12,0.7107,541.6
161771,173,-20.00,-20.14,0.7088,545.4
163285,174,-18.00,-20.11,0.7061,550.9
164325,175,-20.00,-20.12,0.7042,554.6
